day,unit_id,plant_name,mc,alpha_phys,alpha_pred,markup,sec1_price,sec10_price,bs3_sec1,sdr,pred_spike
20260319,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.025474774389444,0.0
20260319,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.025474774389444,0.0
20260319,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.025474774389444,0.0
20260319,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.025474774389444,0.0
20260320,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.168596163943241,0.09375
20260320,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.168596163943241,0.09375
20260320,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.168596163943241,0.09375
20260320,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.168596163943241,0.09375
20260321,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.149847375245101,0.03125
20260321,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.149847375245101,0.03125
20260321,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.149847375245101,0.03125
20260321,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.149847375245101,0.03125
20260322,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.180539335942309,0.07291666666666667
20260322,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.180539335942309,0.07291666666666667
20260322,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.180539335942309,0.07291666666666667
20260322,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.180539335942309,0.07291666666666667
20260323,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.737064367019622,0.2916666666666667
20260323,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.737064367019622,0.2916666666666667
20260323,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.737064367019622,0.2916666666666667
20260323,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.737064367019622,0.2916666666666667
20260324,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.905675200834874,0.2708333333333333
20260324,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.905675200834874,0.2708333333333333
20260324,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.905675200834874,0.2708333333333333
20260324,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.905675200834874,0.2708333333333333
20260325,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.244878047174183,0.11458333333333333
20260325,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.244878047174183,0.11458333333333333
20260325,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.244878047174183,0.11458333333333333
20260325,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.244878047174183,0.11458333333333333
20260326,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.188650677392728,0.09375
20260326,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.188650677392728,0.09375
20260326,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.188650677392728,0.09375
20260326,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.188650677392728,0.09375
20260327,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.19643078960617,0.14583333333333334
20260327,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.19643078960617,0.14583333333333334
20260327,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.19643078960617,0.14583333333333334
20260327,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.19643078960617,0.14583333333333334
20260328,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.177454887776905,0.125
20260328,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.177454887776905,0.125
20260328,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.177454887776905,0.125
20260328,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.177454887776905,0.125
20260329,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.420881364120993,0.21875
20260329,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.420881364120993,0.21875
20260329,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.420881364120993,0.21875
20260329,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.420881364120993,0.21875
20260330,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.804236339735726,0.2708333333333333
20260330,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.804236339735726,0.2708333333333333
20260330,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.804236339735726,0.2708333333333333
20260330,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.804236339735726,0.2708333333333333
20260331,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.909085318821026,0.3333333333333333
20260331,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.909085318821026,0.3333333333333333
20260331,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.909085318821026,0.3333333333333333
20260331,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.909085318821026,0.3333333333333333
20260401,Thermal_29,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.244428458239788,0.23958333333333334
20260401,Thermal_30,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.244428458239788,0.23958333333333334
20260401,Thermal_31,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.244428458239788,0.23958333333333334
20260401,Thermal_32,G20,223.93,-0.12000000000000001,1.3877787807814457e-17,-0.08,229.3928,267.82028,249.34,2.244428458239788,0.23958333333333334
