时间,电价(元/kWh),负荷(kW),温度(℃),风速(m/s),云量(%)
2022/01/01 00:00,372.89,40456.0,15.0,1.0,0.0
2022/01/01 00:15,393.64,40143.0,14.5,1.5,0.0
2022/01/01 00:30,367.59,39277.0,14.0,2.0,0.0
2022/01/01 00:45,383.84,38426.0,14.0,2.0,0.0
2022/01/01 01:00,375.59,37029.0,14.0,2.0,0.0
2022/01/01 01:15,391.12,36761.0,14.0,1.5,0.0
2022/01/01 01:30,379.91,35424.0,14.0,1.0,0.0
2022/01/01 01:45,380.89,34307.0,14.0,1.0,0.0
2022/01/01 02:00,375.97,34081.0,14.0,1.0,0.0
2022/01/01 02:15,385.81,33720.0,14.0,1.0,0.0
2022/01/01 02:30,362.79,33451.0,14.0,1.0,0.0
2022/01/01 02:45,0.0,33104.0,14.0,1.5,0.0
2022/01/01 03:00,10.0,32020.0,14.0,2.0,0.0
2022/01/01 03:15,360.23,31574.0,14.0,2.0,0.0
2022/01/01 03:30,344.0,31070.0,14.0,2.0,0.0
2022/01/01 03:45,10.0,30586.0,13.5,2.0,0.0
2022/01/01 04:00,244.26,30396.0,13.0,2.0,0.0
2022/01/01 04:15,209.49,29948.0,13.0,2.0,0.0
2022/01/01 04:30,227.18,29585.0,13.0,2.0,0.0
2022/01/01 04:45,182.44,29060.0,12.5,2.0,0.0
2022/01/01 05:00,200.52,28942.0,12.0,2.0,0.0
2022/01/01 05:15,3.65,28894.0,12.5,2.0,0.0
2022/01/01 05:30,229.38,28878.0,13.0,2.0,0.0
2022/01/01 05:45,195.88,28468.0,13.0,2.0,0.0
2022/01/01 06:00,3.04,28734.0,13.0,2.0,0.0
2022/01/01 06:15,6.75,28815.0,13.0,1.5,0.0
2022/01/01 06:30,176.32,28762.0,13.0,1.0,0.0
2022/01/01 06:45,200.52,28833.0,13.0,1.0,0.0
2022/01/01 07:00,355.21,29275.0,13.0,1.0,0.0
2022/01/01 07:15,372.74,30453.0,13.0,1.0,0.0
2022/01/01 07:30,387.35,30862.0,13.0,1.0,0.0
2022/01/01 07:45,384.66,31206.0,13.5,1.0,0.0
2022/01/01 08:00,373.53,30435.0,14.0,1.0,0.0
2022/01/01 08:15,373.53,30075.0,14.0,1.0,0.0
2022/01/01 08:30,0.0,30385.0,14.0,1.0,0.0
2022/01/01 08:45,364.66,30097.0,14.5,1.0,9.0
2022/01/01 09:00,372.97,29757.0,15.0,1.0,18.0
2022/01/01 09:15,0.0,30207.0,15.0,1.0,18.0
2022/01/01 09:30,378.49,30165.0,15.0,1.0,18.0
2022/01/01 09:45,0.0,29399.0,15.5,1.0,18.0
2022/01/01 10:00,20.9,29602.0,16.0,1.0,18.0
2022/01/01 10:15,22.21,29120.0,16.5,1.0,16.5
2022/01/01 10:30,149.78,29842.0,17.0,1.0,15.0
2022/01/01 10:45,386.03,29708.0,17.5,1.5,15.0
2022/01/01 11:00,374.7,30114.0,18.0,2.0,15.0
2022/01/01 11:15,404.71,30830.0,18.5,1.5,16.5
