day,base_mean_price,strat_mean_price,delta,pct
20260319,338.65,340.44,1.79,0.53
20260320,307.82,309.69,1.87,0.61
20260321,269.42,260.48,-8.94,-3.32
20260322,349.60,251.63,-97.97,-28.02
20260323,507.24,507.19,-0.06,-0.01
20260324,673.65,672.89,-0.75,-0.11
20260325,322.11,322.40,0.29,0.09
20260326,282.37,281.69,-0.68,-0.24
20260327,369.80,369.94,0.14,0.04
20260328,331.63,344.17,12.54,3.78
20260329,449.62,455.27,5.66,1.26
20260330,438.55,438.55,0.00,0.00
20260331,507.36,507.36,0.00,0.00
20260401,397.81,400.12,2.31,0.58
