day,base_mean_price,strat_mean_price,delta,pct
20260319,338.65,333.12,-5.53,-1.63
20260320,307.82,306.13,-1.69,-0.55
20260321,269.42,264.80,-4.62,-1.71
20260322,349.60,323.02,-26.58,-7.60
20260323,507.24,513.33,6.09,1.20
20260324,673.65,672.22,-1.42,-0.21
20260325,322.11,320.49,-1.62,-0.50
20260326,282.37,293.06,10.69,3.79
20260327,369.80,374.39,4.58,1.24
20260328,331.63,333.19,1.56,0.47
20260329,449.62,412.03,-37.58,-8.36
20260330,438.55,438.55,0.00,0.00
20260331,507.36,507.36,0.00,0.00
20260401,397.81,404.55,6.73,1.69
