day,base_mean_price,strat_mean_price,delta,pct
20260319,338.65,251.59,-87.06,-25.71
20260320,307.82,314.80,6.99,2.27
20260321,269.42,256.24,-13.17,-4.89
20260322,349.60,330.20,-19.39,-5.55
20260323,507.24,499.93,-7.31,-1.44
20260324,673.65,670.71,-2.93,-0.44
20260325,322.11,315.36,-6.74,-2.09
20260326,282.37,275.27,-7.10,-2.52
20260327,369.80,363.13,-6.67,-1.80
20260328,331.63,331.27,-0.36,-0.11
20260329,449.62,449.11,-0.51,-0.11
20260330,438.55,430.53,-8.02,-1.83
20260331,507.36,499.95,-7.41,-1.46
20260401,397.81,392.79,-5.02,-1.26
