QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_29,现货市场,1,Section_1,229.3928,147.0,True
2,Thermal_29,现货市场,1,Section_2,233.66252,17.0,True
3,Thermal_29,现货市场,1,Section_3,237.93224,17.0,True
4,Thermal_29,现货市场,1,Section_4,242.20196,17.0,True
5,Thermal_29,现货市场,1,Section_5,246.47168,17.0,True
6,Thermal_29,现货市场,1,Section_6,250.7414,17.0,True
7,Thermal_29,现货市场,1,Section_7,255.01112,17.0,True
8,Thermal_29,现货市场,1,Section_8,259.28084,17.0,True
9,Thermal_29,现货市场,1,Section_9,263.55056,17.0,True
10,Thermal_29,现货市场,1,Section_10,267.82028,17.0,True
11,Thermal_30,现货市场,1,Section_1,229.3928,147.0,True
12,Thermal_30,现货市场,1,Section_2,233.66252,17.0,True
13,Thermal_30,现货市场,1,Section_3,237.93224,17.0,True
14,Thermal_30,现货市场,1,Section_4,242.20196,17.0,True
15,Thermal_30,现货市场,1,Section_5,246.47168,17.0,True
16,Thermal_30,现货市场,1,Section_6,250.7414,17.0,True
17,Thermal_30,现货市场,1,Section_7,255.01112,17.0,True
18,Thermal_30,现货市场,1,Section_8,259.28084,17.0,True
19,Thermal_30,现货市场,1,Section_9,263.55056,17.0,True
20,Thermal_30,现货市场,1,Section_10,267.82028,17.0,True
21,Thermal_31,现货市场,1,Section_1,229.3928,147.0,True
22,Thermal_31,现货市场,1,Section_2,233.66252,17.0,True
23,Thermal_31,现货市场,1,Section_3,237.93224,17.0,True
24,Thermal_31,现货市场,1,Section_4,242.20196,17.0,True
25,Thermal_31,现货市场,1,Section_5,246.47168,17.0,True
26,Thermal_31,现货市场,1,Section_6,250.7414,17.0,True
27,Thermal_31,现货市场,1,Section_7,255.01112,17.0,True
28,Thermal_31,现货市场,1,Section_8,259.28084,17.0,True
29,Thermal_31,现货市场,1,Section_9,263.55056,17.0,True
30,Thermal_31,现货市场,1,Section_10,267.82028,17.0,True
31,Thermal_32,现货市场,1,Section_1,229.3928,147.0,True
32,Thermal_32,现货市场,1,Section_2,233.66252,17.0,True
33,Thermal_32,现货市场,1,Section_3,237.93224,17.0,True
34,Thermal_32,现货市场,1,Section_4,242.20196,17.0,True
35,Thermal_32,现货市场,1,Section_5,246.47168,17.0,True
36,Thermal_32,现货市场,1,Section_6,250.7414,17.0,True
37,Thermal_32,现货市场,1,Section_7,255.01112,17.0,True
38,Thermal_32,现货市场,1,Section_8,259.28084,17.0,True
39,Thermal_32,现货市场,1,Section_9,263.55056,17.0,True
40,Thermal_32,现货市场,1,Section_10,267.82028,17.0,True
