day,base_mean_price,strat_mean_price,delta,pct
20260319,338.65,336.88,-1.76,-0.52
20260320,307.82,304.99,-2.83,-0.92
20260321,269.42,258.48,-10.94,-4.06
20260322,349.60,324.50,-25.10,-7.18
20260323,507.24,505.99,-1.25,-0.25
20260324,673.65,671.72,-1.92,-0.29
20260325,322.11,318.01,-4.09,-1.27
20260326,282.37,303.70,21.33,7.55
20260327,369.80,367.15,-2.65,-0.72
20260328,331.63,327.65,-3.98,-1.20
20260329,449.62,407.96,-41.66,-9.27
20260330,438.55,436.06,-2.49,-0.57
20260331,507.36,505.24,-2.13,-0.42
20260401,397.81,396.90,-0.91,-0.23
