day,period,price,load_MW,thermal_MW,wind_MW,solar_MW,hydro_MW,sdr
20260101,0,238.76944,6018.5443399999995,3145.544340000004,873.0,0.0,2000.0,1.0000000000000007
20260101,1,237.35712,5931.552025894737,3056.373078526318,875.1789473684208,0.0,2000.0,1.0000000000000002
20260101,2,233.67344,5844.559711789474,2967.201817052631,877.3578947368421,0.0,2000.0,0.9999999999999999
20260101,3,232.414,5757.56739768421,2878.0305555789478,879.5368421052631,0.0,2000.0,1.0000000000000002
20260101,4,230.18632,5670.575083578948,2788.859294105265,881.7157894736841,0.0,2000.0,1.0000000000000002
20260101,5,230.18632,5602.494142105262,2742.599405263158,859.8947368421053,0.0,2000.0,1.0000000000000002
20260101,6,229.07248,5537.249906526316,2702.776222315791,834.4736842105262,0.0,2000.0,1.0000000000000002
20260101,7,229.07248,5472.005670947368,2662.953039368422,809.0526315789475,0.0,2000.0,1.0000000000000002
20260101,8,227.95864,5406.76143536842,2623.1298564210542,783.6315789473683,0.0,2000.0,1.0000000000000004
20260101,9,227.95864,5373.666533263159,2615.4560069473723,758.2105263157894,0.0,2000.0,1.0000000000000004
20260101,10,227.95864,5351.918454736843,2619.1289810526337,732.7894736842104,0.0,2000.0,1.0000000000000002
20260101,11,227.95864,5330.170376210526,2622.8019551578973,707.3684210526316,0.0,2000.0,1.0000000000000004
20260101,12,227.95864,5308.422297684211,2626.474929263161,681.9473684210527,0.0,2000.0,1.0000000000000004
20260101,13,226.8448,5299.912179999999,2578.838495789477,721.0736842105265,0.0,2000.0,1.0000000000000007
20260101,14,225.73096,5299.912179999999,2498.217443157899,801.694736842105,0.0,2000.0,1.000000000000001
20260101,15,853.98584,5381.385041551242,2499.069252077561,882.3157894736842,0.0,2000.0,1.0000000000000007
20260101,16,853.98584,5466.24930747922,2503.3124653739596,962.9368421052632,0.0,2000.0,1.0000000000000004
20260101,17,853.98584,5482.127423822713,2504.1063711911347,978.021052631579,0.0,2000.0,1.0000000000000002
20260101,18,853.98584,5422.747922437671,2501.137396121883,921.6105263157895,0.0,2000.0,1.0000000000000002
20260101,19,853.98584,5363.368421052627,2498.168421052631,865.2,0.0,2000.0,1.0000000000000007
20260101,20,226.8448,5375.557670526316,2566.768196842108,808.7894736842106,0.0,2000.0,1.0000000000000004
20260101,21,222.71704,5495.644886736843,2726.255413052633,769.3894736842105,0.0,2000.0,1.0000000000000002
20260101,22,238.76944,5800.117986105262,3038.233775578947,761.8842105263158,0.0,2000.0,1.0
20260101,23,238.76944,6104.591085473684,3350.2121381052666,754.3789473684209,0.0,2000.0,1.0000000000000007
20260101,24,240.99712,6409.0641848421055,3662.1905006315806,746.8736842105262,0.0,2000.0,1.0000000000000002
20260101,25,242.11096,6704.081597894737,3965.607913684208,738.3684210526316,0.1052631578947363,2000.0,0.9999999999999998
20260101,26,244.32044,6965.058540210526,4238.205908631578,726.2631578947369,0.5894736842105265,2000.0,0.9999999999999998
20260101,27,245.45248,7226.035482526317,4510.803903578946,714.1578947368421,1.073684210526316,2000.0,0.9999999999999997
20260101,28,245.45248,7487.012424842105,4783.401898526315,702.0526315789474,1.557894736842105,2000.0,0.9999999999999999
20260101,29,245.45248,7742.31595536842,5047.10542905263,691.9473684210525,3.2631578947368465,2000.0,0.9999999999999999
20260101,30,246.25328,7938.048662105264,5217.417083157895,702.842105263158,17.78947368421055,2000.0,1.0
20260101,31,246.56632,8133.781368842105,5387.728737263159,713.7368421052631,32.3157894736842,2000.0,1.0000000000000002
20260101,32,247.6801600000001,8329.514075578947,5558.04039136842,724.6315789473686,46.84210526315791,2000.0,1.0
20260101,33,248.00412,8525.24678231579,5728.352045473684,735.5263157894738,61.368421052631604,2000.0,1.0
20260101,34,248.40816,8554.559409894737,5743.822567789474,707.7473684210527,102.9894736842105,2000.0,1.0
20260101,35,248.40816,8576.307488421053,5752.254856842103,678.2105263157897,145.8421052631578,2000.0,0.9999999999999998
20260101,36,248.40816,8598.055566947369,5760.687145894737,648.6736842105264,188.6947368421054,2000.0,1.0
20260101,37,248.40816,8619.803645473687,5769.119434947369,619.1368421052632,231.5473684210526,2000.0,0.9999999999999998
20260101,38,248.40816,8623.585920000001,5764.485920000001,601.8,257.3,2000.0,1.0
20260101,39,248.40816,8623.585920000001,5757.101709473685,587.0315789473683,279.4526315789474,2000.0,1.0
20260101,40,248.40816,8623.585920000001,5749.717498947368,572.2631578947368,301.6052631578948,2000.0,0.9999999999999998
