plant_name,base_net_rev,strat_net_rev,delta,pct,base_qty,strat_qty,is_target
G13,1339.3579922276615,653.9832465673187,-685.3747456603428,-51.17188605567705,939620.3759264142,892238.1877164837,False
G14,305.4175407498102,99.15204550235316,-206.26549524745704,-67.53557596628812,470139.3982204738,245748.70325910952,False
G15,-0.002179660000000139,-32.73795466524071,-32.735775005240704,0,240.0,8546.571186973682,False
G16,2261.971020983351,2045.4767224434568,-216.49429853989432,-9.571046513486161,899752.6142417585,912933.0103060866,False
G17,2054.638485342762,1877.3873400668633,-177.2511452758988,-8.626877503773086,678363.0404133326,517697.36936874106,False
G18,2932.119223632267,2851.5475742824337,-80.57164934983348,-2.7478981311688435,866238.8349783772,876589.2557076548,False
G19,-11.672479307417806,553.3853480915913,565.057827399009,4840.940921950639,18144.047478581044,394787.15434315533,True
G20,43.262642850786776,39.80550300916096,-3.4571398416258177,-7.991050971041049,13325.350371854725,33647.49910689685,False
