day,unit_id,plant_name,base_revenue,strat_revenue,delta_revenue,base_clear_periods,strat_clear_periods,base_price,strat_price
20260319,Thermal_9,G16,29.675572059999887,29.078026495999772,-0.5975455640001144,68,86,244.32044,219.8884
20260319,Thermal_10,G16,29.675572059999887,29.078026495999772,-0.5975455640001144,68,86,244.32044,219.8884
20260319,Thermal_11,G16,29.675572059999887,29.078026495999772,-0.5975455640001144,68,86,244.32044,219.8884
20260319,Thermal_12,G16,29.675572059999887,29.078026495999772,-0.5975455640001144,68,86,244.32044,219.8884
20260319,Thermal_13,G16,29.675572059999887,29.078026495999772,-0.5975455640001144,68,86,244.32044,219.8884
20260319,Thermal_14,G16,29.675572059999887,29.078026495999772,-0.5975455640001144,68,86,244.32044,219.8884
20260320,Thermal_9,G16,19.199408179999978,17.845507547999908,-1.3539006320000695,65,78,244.32044,219.8884
20260320,Thermal_10,G16,19.199408179999978,17.845507547999908,-1.3539006320000695,65,78,244.32044,219.8884
20260320,Thermal_11,G16,19.199408179999978,17.845507547999908,-1.3539006320000695,65,78,244.32044,219.8884
20260320,Thermal_12,G16,19.199408179999978,17.845507547999908,-1.3539006320000695,65,78,244.32044,219.8884
20260320,Thermal_13,G16,19.199408179999978,17.845507547999908,-1.3539006320000695,65,78,244.32044,219.8884
20260320,Thermal_14,G16,19.199408179999978,17.845507547999908,-1.3539006320000695,65,78,244.32044,219.8884
20260321,Thermal_9,G16,4.21285848263153,4.779883934631483,0.5670254519999531,54,81,244.32044,219.8884
20260321,Thermal_10,G16,4.21285848263153,4.779883934631483,0.5670254519999531,54,81,244.32044,219.8884
20260321,Thermal_11,G16,4.21285848263153,4.779883934631483,0.5670254519999531,54,81,244.32044,219.8884
20260321,Thermal_12,G16,4.21285848263153,4.779883934631483,0.5670254519999531,54,81,244.32044,219.8884
20260321,Thermal_13,G16,4.21285848263153,4.779883934631483,0.5670254519999531,54,81,244.32044,219.8884
20260321,Thermal_14,G16,4.21285848263153,4.779883934631483,0.5670254519999531,54,81,244.32044,219.8884
20260322,Thermal_9,G16,35.566125738947285,33.0737549629473,-2.492370775999987,82,90,244.32044,219.8884
20260322,Thermal_10,G16,35.566125738947285,33.0737549629473,-2.492370775999987,82,90,244.32044,219.8884
20260322,Thermal_11,G16,35.566125738947285,33.0737549629473,-2.492370775999987,82,90,244.32044,219.8884
20260322,Thermal_12,G16,35.566125738947285,33.0737549629473,-2.492370775999987,82,90,244.32044,219.8884
20260322,Thermal_13,G16,35.566125738947285,33.0737549629473,-2.492370775999987,82,90,244.32044,219.8884
20260322,Thermal_14,G16,35.566125738947285,33.0737549629473,-2.492370775999987,82,90,244.32044,219.8884
20260323,Thermal_9,G16,90.32972724842081,87.61044119642101,-2.719286051999802,94,94,244.32044,219.8884
20260323,Thermal_10,G16,90.32972724842081,87.61044119642101,-2.719286051999802,94,94,244.32044,219.8884
20260323,Thermal_11,G16,90.32972724842081,87.61044119642101,-2.719286051999802,94,94,244.32044,219.8884
20260323,Thermal_12,G16,90.32972724842081,87.61044119642101,-2.719286051999802,94,94,244.32044,219.8884
20260323,Thermal_13,G16,90.32972724842081,87.61044119642101,-2.719286051999802,94,94,244.32044,219.8884
20260323,Thermal_14,G16,90.32972724842081,87.61044119642101,-2.719286051999802,94,94,244.32044,219.8884
20260324,Thermal_9,G16,146.5096735847368,145.0217623487366,-1.4879112360002011,96,96,244.32044,219.8884
