QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,236.65517,276.0,True
2,Thermal_1,现货市场,1,Section_2,237.84046,36.0,True
3,Thermal_1,现货市场,1,Section_3,239.02575,36.0,True
4,Thermal_1,现货市场,1,Section_4,240.21104,36.0,True
5,Thermal_1,现货市场,1,Section_5,241.39633,36.0,True
6,Thermal_1,现货市场,1,Section_6,242.58162,36.0,True
7,Thermal_1,现货市场,1,Section_7,243.76691,36.0,True
8,Thermal_1,现货市场,1,Section_8,244.9522,36.0,True
9,Thermal_1,现货市场,1,Section_9,246.13749,36.0,True
10,Thermal_1,现货市场,1,Section_10,247.32278,36.0,True
11,Thermal_2,现货市场,1,Section_1,236.65517,276.0,True
12,Thermal_2,现货市场,1,Section_2,237.84046,36.0,True
13,Thermal_2,现货市场,1,Section_3,239.02575,36.0,True
14,Thermal_2,现货市场,1,Section_4,240.21104,36.0,True
15,Thermal_2,现货市场,1,Section_5,241.39633,36.0,True
16,Thermal_2,现货市场,1,Section_6,242.58162,36.0,True
17,Thermal_2,现货市场,1,Section_7,243.76691,36.0,True
18,Thermal_2,现货市场,1,Section_8,244.9522,36.0,True
19,Thermal_2,现货市场,1,Section_9,246.13749,36.0,True
20,Thermal_2,现货市场,1,Section_10,247.32278,36.0,True
