QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,231.91065,276.0,True
2,Thermal_1,现货市场,1,Section_2,233.07217,36.0,True
3,Thermal_1,现货市场,1,Section_3,234.2337,36.0,True
4,Thermal_1,现货市场,1,Section_4,235.39523,36.0,True
5,Thermal_1,现货市场,1,Section_5,236.55675,36.0,True
6,Thermal_1,现货市场,1,Section_6,237.71828,36.0,True
7,Thermal_1,现货市场,1,Section_7,238.87981,36.0,True
8,Thermal_1,现货市场,1,Section_8,240.04133,36.0,True
9,Thermal_1,现货市场,1,Section_9,241.20286,36.0,True
10,Thermal_1,现货市场,1,Section_10,242.36439,36.0,True
11,Thermal_2,现货市场,1,Section_1,231.91065,276.0,True
12,Thermal_2,现货市场,1,Section_2,233.07217,36.0,True
13,Thermal_2,现货市场,1,Section_3,234.2337,36.0,True
14,Thermal_2,现货市场,1,Section_4,235.39523,36.0,True
15,Thermal_2,现货市场,1,Section_5,236.55675,36.0,True
16,Thermal_2,现货市场,1,Section_6,237.71828,36.0,True
17,Thermal_2,现货市场,1,Section_7,238.87981,36.0,True
18,Thermal_2,现货市场,1,Section_8,240.04133,36.0,True
19,Thermal_2,现货市场,1,Section_9,241.20286,36.0,True
20,Thermal_2,现货市场,1,Section_10,242.36439,36.0,True
