QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,214.04566,276.0,True
2,Thermal_1,现货市场,1,Section_2,215.11771,36.0,True
3,Thermal_1,现货市场,1,Section_3,216.18976,36.0,True
4,Thermal_1,现货市场,1,Section_4,217.26181,36.0,True
5,Thermal_1,现货市场,1,Section_5,218.33386,36.0,True
6,Thermal_1,现货市场,1,Section_6,219.40591,36.0,True
7,Thermal_1,现货市场,1,Section_7,220.47796,36.0,True
8,Thermal_1,现货市场,1,Section_8,221.55001,36.0,True
9,Thermal_1,现货市场,1,Section_9,222.62206,36.0,True
10,Thermal_1,现货市场,1,Section_10,223.69411,36.0,True
11,Thermal_2,现货市场,1,Section_1,214.04566,276.0,True
12,Thermal_2,现货市场,1,Section_2,215.11771,36.0,True
13,Thermal_2,现货市场,1,Section_3,216.18976,36.0,True
14,Thermal_2,现货市场,1,Section_4,217.26181,36.0,True
15,Thermal_2,现货市场,1,Section_5,218.33386,36.0,True
16,Thermal_2,现货市场,1,Section_6,219.40591,36.0,True
17,Thermal_2,现货市场,1,Section_7,220.47796,36.0,True
18,Thermal_2,现货市场,1,Section_8,221.55001,36.0,True
19,Thermal_2,现货市场,1,Section_9,222.62206,36.0,True
20,Thermal_2,现货市场,1,Section_10,223.69411,36.0,True
