QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,230.79356,276.0,True
2,Thermal_1,现货市场,1,Section_2,231.94949,36.0,True
3,Thermal_1,现货市场,1,Section_3,233.10542,36.0,True
4,Thermal_1,现货市场,1,Section_4,234.26135,36.0,True
5,Thermal_1,现货市场,1,Section_5,235.41729,36.0,True
6,Thermal_1,现货市场,1,Section_6,236.57322,36.0,True
7,Thermal_1,现货市场,1,Section_7,237.72915,36.0,True
8,Thermal_1,现货市场,1,Section_8,238.88508,36.0,True
9,Thermal_1,现货市场,1,Section_9,240.04101,36.0,True
10,Thermal_1,现货市场,1,Section_10,241.19695,36.0,True
11,Thermal_2,现货市场,1,Section_1,230.79356,276.0,True
12,Thermal_2,现货市场,1,Section_2,231.94949,36.0,True
13,Thermal_2,现货市场,1,Section_3,233.10542,36.0,True
14,Thermal_2,现货市场,1,Section_4,234.26135,36.0,True
15,Thermal_2,现货市场,1,Section_5,235.41729,36.0,True
16,Thermal_2,现货市场,1,Section_6,236.57322,36.0,True
17,Thermal_2,现货市场,1,Section_7,237.72915,36.0,True
18,Thermal_2,现货市场,1,Section_8,238.88508,36.0,True
19,Thermal_2,现货市场,1,Section_9,240.04101,36.0,True
20,Thermal_2,现货市场,1,Section_10,241.19695,36.0,True
