QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,217.08779,276.0,True
2,Thermal_1,现货市场,1,Section_2,218.17508,36.0,True
3,Thermal_1,现货市场,1,Section_3,219.26236,36.0,True
4,Thermal_1,现货市场,1,Section_4,220.34965,36.0,True
5,Thermal_1,现货市场,1,Section_5,221.43694,36.0,True
6,Thermal_1,现货市场,1,Section_6,222.52422,36.0,True
7,Thermal_1,现货市场,1,Section_7,223.61151,36.0,True
8,Thermal_1,现货市场,1,Section_8,224.6988,36.0,True
9,Thermal_1,现货市场,1,Section_9,225.78608,36.0,True
10,Thermal_1,现货市场,1,Section_10,226.87337,36.0,True
11,Thermal_2,现货市场,1,Section_1,217.08779,276.0,True
12,Thermal_2,现货市场,1,Section_2,218.17508,36.0,True
13,Thermal_2,现货市场,1,Section_3,219.26236,36.0,True
14,Thermal_2,现货市场,1,Section_4,220.34965,36.0,True
15,Thermal_2,现货市场,1,Section_5,221.43694,36.0,True
16,Thermal_2,现货市场,1,Section_6,222.52422,36.0,True
17,Thermal_2,现货市场,1,Section_7,223.61151,36.0,True
18,Thermal_2,现货市场,1,Section_8,224.6988,36.0,True
19,Thermal_2,现货市场,1,Section_9,225.78608,36.0,True
20,Thermal_2,现货市场,1,Section_10,226.87337,36.0,True
