QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,229.59011,276.0,True
2,Thermal_1,现货市场,1,Section_2,230.74002,36.0,True
3,Thermal_1,现货市场,1,Section_3,231.88992,36.0,True
4,Thermal_1,现货市场,1,Section_4,233.03983,36.0,True
5,Thermal_1,现货市场,1,Section_5,234.18973,36.0,True
6,Thermal_1,现货市场,1,Section_6,235.33964,36.0,True
7,Thermal_1,现货市场,1,Section_7,236.48954,36.0,True
8,Thermal_1,现货市场,1,Section_8,237.63945,36.0,True
9,Thermal_1,现货市场,1,Section_9,238.78935,36.0,True
10,Thermal_1,现货市场,1,Section_10,239.93926,36.0,True
11,Thermal_2,现货市场,1,Section_1,229.59011,276.0,True
12,Thermal_2,现货市场,1,Section_2,230.74002,36.0,True
13,Thermal_2,现货市场,1,Section_3,231.88992,36.0,True
14,Thermal_2,现货市场,1,Section_4,233.03983,36.0,True
15,Thermal_2,现货市场,1,Section_5,234.18973,36.0,True
16,Thermal_2,现货市场,1,Section_6,235.33964,36.0,True
17,Thermal_2,现货市场,1,Section_7,236.48954,36.0,True
18,Thermal_2,现货市场,1,Section_8,237.63945,36.0,True
19,Thermal_2,现货市场,1,Section_9,238.78935,36.0,True
20,Thermal_2,现货市场,1,Section_10,239.93926,36.0,True
