QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,230.98201,276.0,True
2,Thermal_1,现货市场,1,Section_2,232.13889,36.0,True
3,Thermal_1,现货市场,1,Section_3,233.29576,36.0,True
4,Thermal_1,现货市场,1,Section_4,234.45264,36.0,True
5,Thermal_1,现货市场,1,Section_5,235.60952,36.0,True
6,Thermal_1,现货市场,1,Section_6,236.76639,36.0,True
7,Thermal_1,现货市场,1,Section_7,237.92327,36.0,True
8,Thermal_1,现货市场,1,Section_8,239.08014,36.0,True
9,Thermal_1,现货市场,1,Section_9,240.23702,36.0,True
10,Thermal_1,现货市场,1,Section_10,241.3939,36.0,True
11,Thermal_2,现货市场,1,Section_1,230.98201,276.0,True
12,Thermal_2,现货市场,1,Section_2,232.13889,36.0,True
13,Thermal_2,现货市场,1,Section_3,233.29576,36.0,True
14,Thermal_2,现货市场,1,Section_4,234.45264,36.0,True
15,Thermal_2,现货市场,1,Section_5,235.60952,36.0,True
16,Thermal_2,现货市场,1,Section_6,236.76639,36.0,True
17,Thermal_2,现货市场,1,Section_7,237.92327,36.0,True
18,Thermal_2,现货市场,1,Section_8,239.08014,36.0,True
19,Thermal_2,现货市场,1,Section_9,240.23702,36.0,True
20,Thermal_2,现货市场,1,Section_10,241.3939,36.0,True
