QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,223.25296,276.0,True
2,Thermal_1,现货市场,1,Section_2,224.37112,36.0,True
3,Thermal_1,现货市场,1,Section_3,225.48929,36.0,True
4,Thermal_1,现货市场,1,Section_4,226.60745,36.0,True
5,Thermal_1,现货市场,1,Section_5,227.72562,36.0,True
6,Thermal_1,现货市场,1,Section_6,228.84378,36.0,True
7,Thermal_1,现货市场,1,Section_7,229.96195,36.0,True
8,Thermal_1,现货市场,1,Section_8,231.08011,36.0,True
9,Thermal_1,现货市场,1,Section_9,232.19827,36.0,True
10,Thermal_1,现货市场,1,Section_10,233.31644,36.0,True
11,Thermal_2,现货市场,1,Section_1,223.25296,276.0,True
12,Thermal_2,现货市场,1,Section_2,224.37112,36.0,True
13,Thermal_2,现货市场,1,Section_3,225.48929,36.0,True
14,Thermal_2,现货市场,1,Section_4,226.60745,36.0,True
15,Thermal_2,现货市场,1,Section_5,227.72562,36.0,True
16,Thermal_2,现货市场,1,Section_6,228.84378,36.0,True
17,Thermal_2,现货市场,1,Section_7,229.96195,36.0,True
18,Thermal_2,现货市场,1,Section_8,231.08011,36.0,True
19,Thermal_2,现货市场,1,Section_9,232.19827,36.0,True
20,Thermal_2,现货市场,1,Section_10,233.31644,36.0,True
