QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_1,现货市场,1,Section_1,224.90146,276.0,True
2,Thermal_1,现货市场,1,Section_2,226.02788,36.0,True
3,Thermal_1,现货市场,1,Section_3,227.1543,36.0,True
4,Thermal_1,现货市场,1,Section_4,228.28073,36.0,True
5,Thermal_1,现货市场,1,Section_5,229.40715,36.0,True
6,Thermal_1,现货市场,1,Section_6,230.53357,36.0,True
7,Thermal_1,现货市场,1,Section_7,231.65999,36.0,True
8,Thermal_1,现货市场,1,Section_8,232.78641,36.0,True
9,Thermal_1,现货市场,1,Section_9,233.91283,36.0,True
10,Thermal_1,现货市场,1,Section_10,235.03925,36.0,True
11,Thermal_2,现货市场,1,Section_1,224.90146,276.0,True
12,Thermal_2,现货市场,1,Section_2,226.02788,36.0,True
13,Thermal_2,现货市场,1,Section_3,227.1543,36.0,True
14,Thermal_2,现货市场,1,Section_4,228.28073,36.0,True
15,Thermal_2,现货市场,1,Section_5,229.40715,36.0,True
16,Thermal_2,现货市场,1,Section_6,230.53357,36.0,True
17,Thermal_2,现货市场,1,Section_7,231.65999,36.0,True
18,Thermal_2,现货市场,1,Section_8,232.78641,36.0,True
19,Thermal_2,现货市场,1,Section_9,233.91283,36.0,True
20,Thermal_2,现货市场,1,Section_10,235.03925,36.0,True
