day,base_mean_price,strat_mean_price,delta,pct
20260319,338.65,268.33,-70.31,-20.76
20260320,307.82,282.16,-25.65,-8.33
20260321,269.42,261.73,-7.69,-2.85
20260322,349.60,294.57,-55.03,-15.74
20260323,507.24,507.47,0.23,0.04
20260324,673.65,672.65,-1.00,-0.15
20260325,322.11,332.45,10.34,3.21
20260326,282.37,301.16,18.79,6.65
20260327,369.80,375.44,5.64,1.52
20260328,331.63,363.17,31.54,9.51
20260329,449.62,411.97,-37.65,-8.37
20260330,438.55,438.55,0.00,0.00
20260331,507.36,507.36,0.00,0.00
20260401,397.81,399.82,2.01,0.50
