QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_9,现货市场,1,Section_1,219.8884,101.0,True
2,Thermal_9,现货市场,1,Section_2,221.54605,11.0,True
3,Thermal_9,现货市场,1,Section_3,223.20371,11.0,True
4,Thermal_9,现货市场,1,Section_4,224.86136,11.0,True
5,Thermal_9,现货市场,1,Section_5,226.51902,11.0,True
6,Thermal_9,现货市场,1,Section_6,228.17668,11.0,True
7,Thermal_9,现货市场,1,Section_7,229.83433,11.0,True
8,Thermal_9,现货市场,1,Section_8,231.49199,11.0,True
9,Thermal_9,现货市场,1,Section_9,233.14964,11.0,True
10,Thermal_9,现货市场,1,Section_10,234.8073,11.0,True
11,Thermal_10,现货市场,1,Section_1,219.8884,101.0,True
12,Thermal_10,现货市场,1,Section_2,221.54605,11.0,True
13,Thermal_10,现货市场,1,Section_3,223.20371,11.0,True
14,Thermal_10,现货市场,1,Section_4,224.86136,11.0,True
15,Thermal_10,现货市场,1,Section_5,226.51902,11.0,True
16,Thermal_10,现货市场,1,Section_6,228.17668,11.0,True
17,Thermal_10,现货市场,1,Section_7,229.83433,11.0,True
18,Thermal_10,现货市场,1,Section_8,231.49199,11.0,True
19,Thermal_10,现货市场,1,Section_9,233.14964,11.0,True
20,Thermal_10,现货市场,1,Section_10,234.8073,11.0,True
21,Thermal_11,现货市场,1,Section_1,219.8884,101.0,True
22,Thermal_11,现货市场,1,Section_2,221.54605,11.0,True
23,Thermal_11,现货市场,1,Section_3,223.20371,11.0,True
24,Thermal_11,现货市场,1,Section_4,224.86136,11.0,True
25,Thermal_11,现货市场,1,Section_5,226.51902,11.0,True
26,Thermal_11,现货市场,1,Section_6,228.17668,11.0,True
27,Thermal_11,现货市场,1,Section_7,229.83433,11.0,True
28,Thermal_11,现货市场,1,Section_8,231.49199,11.0,True
29,Thermal_11,现货市场,1,Section_9,233.14964,11.0,True
30,Thermal_11,现货市场,1,Section_10,234.8073,11.0,True
31,Thermal_12,现货市场,1,Section_1,219.8884,101.0,True
32,Thermal_12,现货市场,1,Section_2,221.54605,11.0,True
33,Thermal_12,现货市场,1,Section_3,223.20371,11.0,True
34,Thermal_12,现货市场,1,Section_4,224.86136,11.0,True
35,Thermal_12,现货市场,1,Section_5,226.51902,11.0,True
36,Thermal_12,现货市场,1,Section_6,228.17668,11.0,True
37,Thermal_12,现货市场,1,Section_7,229.83433,11.0,True
38,Thermal_12,现货市场,1,Section_8,231.49199,11.0,True
39,Thermal_12,现货市场,1,Section_9,233.14964,11.0,True
40,Thermal_12,现货市场,1,Section_10,234.8073,11.0,True
41,Thermal_13,现货市场,1,Section_1,219.8884,101.0,True
42,Thermal_13,现货市场,1,Section_2,221.54605,11.0,True
43,Thermal_13,现货市场,1,Section_3,223.20371,11.0,True
44,Thermal_13,现货市场,1,Section_4,224.86136,11.0,True
45,Thermal_13,现货市场,1,Section_5,226.51902,11.0,True
46,Thermal_13,现货市场,1,Section_6,228.17668,11.0,True
47,Thermal_13,现货市场,1,Section_7,229.83433,11.0,True
48,Thermal_13,现货市场,1,Section_8,231.49199,11.0,True
49,Thermal_13,现货市场,1,Section_9,233.14964,11.0,True
50,Thermal_13,现货市场,1,Section_10,234.8073,11.0,True
51,Thermal_14,现货市场,1,Section_1,219.8884,101.0,True
52,Thermal_14,现货市场,1,Section_2,221.54605,11.0,True
53,Thermal_14,现货市场,1,Section_3,223.20371,11.0,True
54,Thermal_14,现货市场,1,Section_4,224.86136,11.0,True
55,Thermal_14,现货市场,1,Section_5,226.51902,11.0,True
56,Thermal_14,现货市场,1,Section_6,228.17668,11.0,True
57,Thermal_14,现货市场,1,Section_7,229.83433,11.0,True
58,Thermal_14,现货市场,1,Section_8,231.49199,11.0,True
59,Thermal_14,现货市场,1,Section_9,233.14964,11.0,True
60,Thermal_14,现货市场,1,Section_10,234.8073,11.0,True
