day,base_mean_price,strat_mean_price,delta,pct
20260319,338.65,335.15,-3.50,-1.03
20260320,307.82,314.46,6.65,2.16
20260321,269.42,255.96,-13.46,-5.00
20260322,349.60,295.15,-54.45,-15.57
20260323,507.24,500.87,-6.38,-1.26
20260324,673.65,668.28,-5.36,-0.80
20260325,322.11,315.25,-6.86,-2.13
20260326,282.37,274.62,-7.75,-2.75
20260327,369.80,363.33,-6.47,-1.75
20260328,331.63,325.26,-6.37,-1.92
20260329,449.62,404.45,-45.17,-10.05
20260330,438.55,430.30,-8.25,-1.88
20260331,507.36,499.43,-7.93,-1.56
20260401,397.81,386.36,-11.45,-2.88
