day,unit_id,plant_name,base_revenue,strat_revenue,delta_revenue,base_clear_periods,strat_clear_periods,base_price,strat_price
20260319,Thermal_1,G13,124.9846398200003,128.9885805650004,4.003940745000108,95,90,222.38944,236.65517
20260319,Thermal_2,G13,124.9846398200003,128.9885805650004,4.003940745000108,95,90,222.38944,236.65517
20260320,Thermal_1,G13,94.38571033999989,98.3484005119999,3.962690172000009,96,94,222.38944,231.91065
20260320,Thermal_2,G13,94.38571033999989,98.3484005119999,3.962690172000009,96,94,222.38944,231.91065
20260321,Thermal_1,G13,55.68141692789442,53.090558559894646,-2.590858367999772,96,96,222.38944,217.91936
20260321,Thermal_2,G13,55.68141692789442,53.090558559894646,-2.590858367999772,96,96,222.38944,217.91936
20260322,Thermal_1,G13,136.50017017684252,136.9353842568422,0.43521407999969597,96,96,222.38944,223.25296
20260322,Thermal_2,G13,136.50017017684252,136.9353842568422,0.43521407999969597,96,96,222.38944,223.25296
20260323,Thermal_1,G13,295.4097501152629,298.32177769526334,2.9120275800004265,96,96,222.38944,230.79356
20260323,Thermal_2,G13,295.4097501152629,298.32177769526334,2.9120275800004265,96,96,222.38944,230.79356
20260324,Thermal_1,G13,463.1427487542104,464.3071013352103,1.1643525809998891,96,96,222.38944,228.76247
20260324,Thermal_2,G13,463.1427487542104,464.3071013352103,1.1643525809998891,96,96,222.38944,228.76247
20260325,Thermal_1,G13,108.79279725578937,111.86325799178951,3.0704607360001432,96,96,222.38944,228.19152
20260325,Thermal_2,G13,108.79279725578937,111.86325799178951,3.0704607360001432,96,96,222.38944,228.19152
20260326,Thermal_1,G13,68.73824857368407,65.73221302368404,-3.0060355500000355,96,96,222.38944,217.08779
20260326,Thermal_2,G13,68.73824857368407,65.73221302368404,-3.0060355500000355,96,96,222.38944,217.08779
20260327,Thermal_1,G13,156.8679746600003,161.60298239900004,4.735007738999741,96,96,222.38944,232.15033
20260327,Thermal_2,G13,156.8679746600003,161.60298239900004,4.735007738999741,96,96,222.38944,232.15033
20260328,Thermal_1,G13,117.88824533631603,119.18595486831592,1.2977095319998853,95,95,222.38944,224.90146
20260328,Thermal_2,G13,117.88824533631603,119.18595486831592,1.2977095319998853,95,95,222.38944,224.90146
20260329,Thermal_1,G13,237.32261078789455,233.95839869189425,-3.3642120960003012,96,96,222.38944,214.04566
20260329,Thermal_2,G13,237.32261078789455,233.95839869189425,-3.3642120960003012,96,96,222.38944,214.04566
20260330,Thermal_1,G13,226.16716278894754,229.16120137494752,2.994038585999988,96,96,222.38944,229.59011
20260330,Thermal_2,G13,226.16716278894754,229.16120137494752,2.994038585999988,96,96,222.38944,229.59011
20260331,Thermal_1,G13,295.52962714526336,298.5069526502625,2.9773255049991576,96,96,222.38944,230.98201
20260331,Thermal_2,G13,295.52962714526336,298.5069526502625,2.9773255049991576,96,96,222.38944,230.98201
20260401,Thermal_1,G13,185.10186609105284,188.94600361905282,3.844137527999976,96,96,222.38944,230.86417
20260401,Thermal_2,G13,185.10186609105284,188.94600361905282,3.844137527999976,96,96,222.38944,230.86417
