QuoteId,UnitId,MarketName,QuoteTime,QuoteSection,QuotePrice,QuoteCapacity,IsUsed
1,Thermal_3,现货市场,1,Section_1,226.83097,276.0,True
2,Thermal_3,现货市场,1,Section_2,227.88912,36.0,True
3,Thermal_3,现货市场,1,Section_3,228.94726,36.0,True
4,Thermal_3,现货市场,1,Section_4,230.00541,36.0,True
5,Thermal_3,现货市场,1,Section_5,231.06356,36.0,True
6,Thermal_3,现货市场,1,Section_6,232.12171,36.0,True
7,Thermal_3,现货市场,1,Section_7,233.17986,36.0,True
8,Thermal_3,现货市场,1,Section_8,234.238,36.0,True
9,Thermal_3,现货市场,1,Section_9,235.29615,36.0,True
10,Thermal_3,现货市场,1,Section_10,236.3543,36.0,True
11,Thermal_4,现货市场,1,Section_1,226.83097,276.0,True
12,Thermal_4,现货市场,1,Section_2,227.88912,36.0,True
13,Thermal_4,现货市场,1,Section_3,228.94726,36.0,True
14,Thermal_4,现货市场,1,Section_4,230.00541,36.0,True
15,Thermal_4,现货市场,1,Section_5,231.06356,36.0,True
16,Thermal_4,现货市场,1,Section_6,232.12171,36.0,True
17,Thermal_4,现货市场,1,Section_7,233.17986,36.0,True
18,Thermal_4,现货市场,1,Section_8,234.238,36.0,True
19,Thermal_4,现货市场,1,Section_9,235.29615,36.0,True
20,Thermal_4,现货市场,1,Section_10,236.3543,36.0,True
21,Thermal_5,现货市场,1,Section_1,226.83097,276.0,True
22,Thermal_5,现货市场,1,Section_2,227.88912,36.0,True
23,Thermal_5,现货市场,1,Section_3,228.94726,36.0,True
24,Thermal_5,现货市场,1,Section_4,230.00541,36.0,True
25,Thermal_5,现货市场,1,Section_5,231.06356,36.0,True
26,Thermal_5,现货市场,1,Section_6,232.12171,36.0,True
27,Thermal_5,现货市场,1,Section_7,233.17986,36.0,True
28,Thermal_5,现货市场,1,Section_8,234.238,36.0,True
29,Thermal_5,现货市场,1,Section_9,235.29615,36.0,True
30,Thermal_5,现货市场,1,Section_10,236.3543,36.0,True
31,Thermal_6,现货市场,1,Section_1,226.83097,276.0,True
32,Thermal_6,现货市场,1,Section_2,227.88912,36.0,True
33,Thermal_6,现货市场,1,Section_3,228.94726,36.0,True
34,Thermal_6,现货市场,1,Section_4,230.00541,36.0,True
35,Thermal_6,现货市场,1,Section_5,231.06356,36.0,True
36,Thermal_6,现货市场,1,Section_6,232.12171,36.0,True
37,Thermal_6,现货市场,1,Section_7,233.17986,36.0,True
38,Thermal_6,现货市场,1,Section_8,234.238,36.0,True
39,Thermal_6,现货市场,1,Section_9,235.29615,36.0,True
40,Thermal_6,现货市场,1,Section_10,236.3543,36.0,True
