day,unit_id,plant_name,mc,alpha_phys,alpha_pred,markup,sec1_price,sec10_price,bs3_sec1,sdr,pred_spike
20260319,Thermal_3,G14,191.38,-0.08072133460772285,0.0002651235286770562,-0.05,226.83097,236.3543,238.76944,2.025474774389444,0.0
20260319,Thermal_4,G14,191.38,-0.08072133460772285,0.0002651235286770562,-0.05,226.83097,236.3543,238.76944,2.025474774389444,0.0
20260319,Thermal_5,G14,191.38,-0.08072133460772285,0.0002651235286770562,-0.05,226.83097,236.3543,238.76944,2.025474774389444,0.0
20260319,Thermal_6,G14,191.38,-0.08072133460772285,0.0002651235286770562,-0.05,226.83097,236.3543,238.76944,2.025474774389444,0.0
20260320,Thermal_3,G14,191.38,-0.07812011523689728,0.0033901480779859683,-0.05,226.83097,236.3543,238.76944,2.168596163943241,0.09375
20260320,Thermal_4,G14,191.38,-0.07812011523689728,0.0033901480779859683,-0.05,226.83097,236.3543,238.76944,2.168596163943241,0.09375
20260320,Thermal_5,G14,191.38,-0.07812011523689728,0.0033901480779859683,-0.05,226.83097,236.3543,238.76944,2.168596163943241,0.09375
20260320,Thermal_6,G14,191.38,-0.07812011523689728,0.0033901480779859683,-0.05,226.83097,236.3543,238.76944,2.168596163943241,0.09375
20260321,Thermal_3,G14,191.38,-0.08795136283922203,0.00014741367299747995,-0.05,226.83097,236.3543,238.76944,2.149847375245101,0.03125
20260321,Thermal_4,G14,191.38,-0.08795136283922203,0.00014741367299747995,-0.05,226.83097,236.3543,238.76944,2.149847375245101,0.03125
20260321,Thermal_5,G14,191.38,-0.08795136283922203,0.00014741367299747995,-0.05,226.83097,236.3543,238.76944,2.149847375245101,0.03125
20260321,Thermal_6,G14,191.38,-0.08795136283922203,0.00014741367299747995,-0.05,226.83097,236.3543,238.76944,2.149847375245101,0.03125
20260322,Thermal_3,G14,191.38,-0.07738383626774506,-0.0003251813583170753,-0.05,226.83097,236.3543,238.76944,2.180539335942309,0.07291666666666667
20260322,Thermal_4,G14,191.38,-0.07738383626774506,-0.0003251813583170753,-0.05,226.83097,236.3543,238.76944,2.180539335942309,0.07291666666666667
20260322,Thermal_5,G14,191.38,-0.07738383626774506,-0.0003251813583170753,-0.05,226.83097,236.3543,238.76944,2.180539335942309,0.07291666666666667
20260322,Thermal_6,G14,191.38,-0.07738383626774506,-0.0003251813583170753,-0.05,226.83097,236.3543,238.76944,2.180539335942309,0.07291666666666667
20260323,Thermal_3,G14,191.38,-0.09255633474613521,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.737064367019622,0.2916666666666667
20260323,Thermal_4,G14,191.38,-0.09255633474613521,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.737064367019622,0.2916666666666667
20260323,Thermal_5,G14,191.38,-0.09255633474613521,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.737064367019622,0.2916666666666667
20260323,Thermal_6,G14,191.38,-0.09255633474613521,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.737064367019622,0.2916666666666667
20260324,Thermal_3,G14,191.38,-0.08162099982449791,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.905675200834874,0.2708333333333333
20260324,Thermal_4,G14,191.38,-0.08162099982449791,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.905675200834874,0.2708333333333333
20260324,Thermal_5,G14,191.38,-0.08162099982449791,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.905675200834874,0.2708333333333333
20260324,Thermal_6,G14,191.38,-0.08162099982449791,0.0012220199124344834,-0.05,226.83097,236.3543,238.76944,2.905675200834874,0.2708333333333333
20260325,Thermal_3,G14,191.38,-0.07586967910231822,0.0013145161130953993,-0.05,226.83097,236.3543,238.76944,2.244878047174183,0.11458333333333333
20260325,Thermal_4,G14,191.38,-0.07586967910231822,0.0013145161130953993,-0.05,226.83097,236.3543,238.76944,2.244878047174183,0.11458333333333333
20260325,Thermal_5,G14,191.38,-0.07586967910231822,0.0013145161130953993,-0.05,226.83097,236.3543,238.76944,2.244878047174183,0.11458333333333333
20260325,Thermal_6,G14,191.38,-0.07586967910231822,0.0013145161130953993,-0.05,226.83097,236.3543,238.76944,2.244878047174183,0.11458333333333333
